Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
Ubiquity	1530-2180		21	2016-04-13
Ubiquity: The Journal of Pervasive Media	2045-6271	2045-628X	409	2016-02-11
UCL Child Health Open Research		2515-4222	1546	2017-08-17
Uddannelseshistorie	0900-226X		1916	2014-05-29
Ugarit-Forschungen	0342-2356		2135	2014-11-10
UIS INGENIERÍAS	1657-4583	2145-8456	2137	2014-11-10
Ukrainian Journal of Surgery	1997-2938	1999-1649	2899	2016-11-16
Ukrainian Mathematical Journal	0041-5995	1573-9376	74	2014-09-25
ULA		2398-4112	1132	2016-08-08
Ulcers	2090-1526	2090-1534	100	2018-01-08
Ulster Medical Journal, The	0041-6193	2046-4207	2394	2015-07-14
Ultimate Reality and Meaning	0709-549X		436	2018-04-20
Ultramicroscopy	0304-3991		30	2015-05-01
Ultraschall in der Medizin	0172-4614		257	2015-04-14
Ultrasonic Imaging	0161-7346	1096-0910	65	2013-06-19
Ultrasonics	0041-624X		30	2015-05-01
Ultrasonics Sonochemistry	1350-4177		30	2015-05-01
Ultrasound	1742-271X	1743-1344	65	2013-03-11
Ultrasound Clinics	1556-858X		985	2014-01-07
Ultrasound in Medicine and Biology	0301-5629		30	2015-06-05
Ultrasound in Obstetrics and Gynaecology		1469-0705	2050	2017-11-24
Ultrasound in Obstetrics and Gynecology	0960-7692	1469-0705	2050	2017-11-24
Ultrasound International Open		2199-7152	2107	2017-02-17
Ultrasound Quarterly	0894-8771	1536-0253	48	2016-09-26
Ultrastructural Pathology	0191-3123	1521-0758	1141	2014-03-26
Uludağ University Journal of The Faculty of Engineering		2146-989X	2587	2015-11-16
Umweltbildung, Umweltkommunikation und Nachhaltigkeit	1434-3819		1084	2018-03-16
Umweltbildung und Zukunftsfähigkeit	1433-3236		1084	2018-03-16
Umweltwissenschaften und Schadstoff-Forschung	0934-3504	1865-5084	74	2014-09-25
Un mundo, muchas miradas	1889-2663		819	2013-05-28
Unbound: Harvard Journal of the Legal Left	1932-3808		779	2010-08-31
Uncommon Culture	2082-6923	2083-0599	714	2011-03-30
Undergraduate Journal of Mathematical Modeling: One + Two	2326-3652		2114	2014-09-25
Undergraduate Journal of Politics and International Relations		2398-5992	2964	2017-02-14
Understanding Media Ecology	2374-7676		1084	2018-03-14
Unfallchirurg	0177-5537	1433-044X	74	2014-09-10
Uni Slovakia	2366-2697		1084	2018-03-20
Uniciencia	1011-0275	2215-3470	1728	2014-11-20
uniDO.FACTS	1863-0073		1084	2018-03-20
Uniform Law Review	1124-3694	2050-9065	1481	2017-01-13
UniLetras	1983-3431		713	2010-09-09
Uniped - Tidsskrift for universitets- og høgskolepedagogikk	1500-4538	1893-8981	2779	2016-05-25
Unisul de Fato e de Direito	2358-601X		2681	2015-09-17
United European Gastroenterology Journal	2050-6406	2050-6414	65	2013-06-19
United Kingdom Economic Accounts	1350-4401	2040-1604	210	2015-11-23
Universal Access in the Information Society	1615-5289	1615-5297	74	2014-09-25
Universal Research Journal of Dentistry	2249-9725	2250-3455	89	2017-03-09
Universitas	1390-3837	1390-8634	2207	2015-01-13
Universitas Humanística		0120-4807	1759	2014-01-03
Universitas Médica	0041-9095	2011-0839	1759	2014-01-03
Universitas Odontologica		2027-3444	1759	2014-01-03
Universitas Philosophica	0120-5323		1759	2014-01-03
Universitas Psychologica		2011-2777	1759	2014-01-03
Universitas Scientiarum	0122-7483	2027-1352	1759	2015-09-02
University Journal of Business	1525-6979		77	2017-09-08
University of Cincinnati Studies in Historical and Contemporary Europe	0888-3882		1084	2018-03-14
University of Fribourg Series in Computer Science	0940-9580		1084	2018-03-16
University of Kansas Humanistic Studies	0085-2473		1084	2018-03-19
University of Ottawa Journal of Medicine		2292-650X	1260	2015-03-31
University of Ottawa Law and Technology Journal	1710-6028	1715-006X	310	2010-09-27
University of Pittsburgh Law Review	0041-9915	1942-8405	1850	2017-01-13
University of Texas Studies in Contemporary Spanish-American Fiction	0888-8787		1084	2018-03-14
University of Toronto Law Journal	0042-0220	1710-1174	436	2018-04-20
University of Toronto Quarterly	0042-0247	1712-5278	436	2018-04-20
University of Wales Journal of Education	2055-1002		1081	2016-07-06
University Studies in Medieval and Renaissance Literature	0749-4149		1084	2018-03-14
Unmanned Systems	2301-3850	2301-3869	155	2014-10-29
UnternehmerBrief Bauwirtschaft	1866-9328		1390	2017-06-26
Unternehmung	0042-059X		1423	2013-01-29
Unterrichtsblätter für die Bundeswehrverwaltung	0042-0611		2513	2016-02-12
Unterrichtspraxis	0042-062X	1756-1221	580	2017-11-24
Untersuchungen zum christlichen Glauben in einer säkularen Welt	1617-335X		1084	2018-03-20
Update	0301-5718		30	2015-05-01
Update: Applications of Research in Music Education	8755-1233	1945-0109	65	2013-03-11
Update on Cancer Therapeutics	1872-115X		30	2015-05-01
Updates in Surgery	2038-131X	2038-3312	74	2014-09-25
Upsala Journal of Medical Sciences	0300-9734	2000-1967	1141	2014-03-26
Urban Affairs Review	1078-0874	1552-8332	65	2013-03-11
Urban Climate	2212-0955		30	2015-05-01
Urban Communication	2153-1404		1084	2018-03-20
URBAN DESIGN International	1357-5317	1468-4519	210	2015-11-23
Urban Ecosystems	1083-8155	1573-1642	74	2014-09-25
Urban Education	0042-0859	1552-8340	65	2013-03-11
Urban Forestry and Urban Greening	1618-8667		30	2015-05-01
Urban Forum	1015-3802	1874-6330	74	2014-09-25
Urban Geography	0272-3638		1139	2016-11-08
Urban History	0963-9268	1469-8706	2128	2014-10-07
Urban Lawyer	0042-0905		632	2011-08-12
Urban Naturalist	2328-8965		2232	2015-02-19
Urban Planning		2183-7635	1984	2016-04-05
Urban, Planning and Transport Research		2165-0020	1200	2013-04-23
Urban Policy and Research	0811-1146	1476-7244	1140	2014-03-26
Urban Rail Transit	2199-6687	2199-6679	948	2015-12-22
Urban Research and Practice	1753-5069	1753-5077	1140	2014-03-26
Urban Review	0042-0972	1573-1960	74	2014-09-25
Urban Science		2413-8851	487	2017-10-20
Urban Social Work	2474-8684	2474-8692	3061	2018-02-21
Urban Studies	0042-0980	1360-063X	65	2013-03-11
Urban Studies Research	2090-4185	2090-4193	100	2018-01-08
Urban Water Journal	1573-062X	1744-9006	1141	2014-03-26
Urbanism. Arhitectură. Construcţii	2069-0509	2069-6469	2329	2015-06-16
Urbanities - Journal of Urban Ethnography		2239-5725	2783	2016-05-09
Urbanization and Land Use	2332-7901	2332-791X	1326	2014-12-09
Urethane Abstracts	0149-1342		65	2013-03-11
Urogynaecologia	1121-3086		644	2016-11-24
Urologe A	0340-2592	1433-0563	74	2014-09-10
Urologe B	0042-1111	1433-0571	74	2014-05-16
Urologia	0391-5603	1724-6075	473	2016-04-28
Urologia Internationalis	0042-1138	1423-0399	242	2016-06-29
Urologic Clinics of North America	0094-0143		985	2014-01-07
Urologic Oncology: Seminars and Original Investigations	1078-1439		30	2018-05-03
Urologic Radiology	0171-1091		74	2014-09-25
Urological Open Access Journal	2160-5440	2160-5629	1018	2014-11-19
Urological Research	0300-5623	1434-0879	74	2014-09-25
Urological Science	1879-5226		30	2015-05-01
Urologist		2279-9419	1615	2013-08-13
Urology	0090-4295		30	2018-05-03
Urology Annals	0974-7796	0974-7834	89	2014-08-26
UroOncology	1561-0950		76	2016-04-26
US-China Education Review	1548-6613		1203	2014-08-08
US-China Education Review A	2161-623X	1930-1529	1203	2014-08-08
US-China Education Review B	2161-6248		1203	2012-09-27
US - Japan Women's Journal: English Supplement	1059-9770		136	2016-06-24
User Modeling and User-Adapted Interaction	0924-1868	1573-1391	74	2014-09-25
Uskonnontutkija - Religionsforskaren		1796-4407	3194	2018-02-15
Uspehi Molekulârnoj Onkologii		2413-3787	3031	2017-06-16
Uspekhi Gerontologii	2079-0570	2079-0589	74	2014-05-16
Usus Antiquior	1757-8949	2041-0999	121	2014-01-22
Utah Studies in Literature and Linguistics	0171-726X		1084	2018-03-14
Utilitas	0953-8208	1741-6183	2128	2014-10-07
Utilities Policy	0957-1787		30	2015-05-01
Utopian Studies	1045-991X	2154-9648	435	2017-09-01
Utrecht Journal of International and European Law		2053-5341	1132	2015-07-20
Utrecht Law Review	1871-515X		2350	2015-06-17
Utrecht Studies in Language and Communication	0927-7706		143	2010-07-20
uwf - UmweltWirtschaftsForum	0943-3481	1432-2293	74	2014-09-25
Vaccine	0264-410X		2823	2016-11-29
Vaccine: Development and Therapy		2230-2298	407	2014-01-30
Vaccines		2076-393X	487	2016-12-14
Vaccines in practice	1757-9724		3100	2017-10-02
Vacunas	1576-9887	1578-8857	990	2015-05-01
Vacunas. Investigación y Práctica	1576-9887	1578-8857	990	2015-05-01
Vacuum	0042-207X		30	2015-05-01
Vadose Zone Journal		1539-1663	377	2018-04-25
Vakuum in Forschung und Praxis	0947-076X	1522-2454	1554	2013-07-30
Value in Health	1098-3015	1524-4733	30	2018-05-03
Value in Health Regional Issues	2212-1099		30	2018-05-03
Value Inquiry Book Series	0929-8436		143	2010-07-20
Vård i Norden	1890-4238	0107-4083	65	2017-09-11
Varia Musicologica	1660-8666		1084	2018-03-16
Variaciones Borges		1396-0482	2854	2016-08-08
Variants	1573-3084		143	2010-07-20
Variolingua. Nonstandard - Standard - Substandard	1430-6778		1084	2018-03-16
VASA	0301-1526	1664-2872	165	2016-05-12
Vascular	1708-5381	1708-539X	65	2013-03-11
Vascular and Endovascular Surgery	1538-5744	1938-9116	65	2013-03-11
Vascular Cell		2045-824X	22	2015-11-23
Vascular Disease Prevention	1567-2700		1419	2014-12-19
Vascular Health and Risk Management		1178-2048	407	2014-01-30
Vascular Medicine	1358-863X	1477-0377	65	2013-03-11
Vascular Pharmacology	1537-1891		30	2015-05-01
Vastgoedrecht	1573-2363		1036	2011-07-06
Vavilovskii Zhurnal Genetiki I Selektsii i Ekologicheskaya genetika	2079-0597	2079-0600	74	2014-05-16
Vector-Borne and Zoonotic Diseases	1530-3667	1557-7759	50	2015-03-18
Vegetable Crops Research Bulletin		1898-7761	1851	2018-05-02
Vegetation History and Archaeobotany	0939-6314	1617-6278	74	2014-09-25
Vegueta: Anuario de la Facultad de Geografía e Historia		2341-1112	2504	2015-08-14
Vehicle System Dynamics	0042-3114	1744-5159	1141	2014-03-26
Veins and Lymphatics		2279-7483	644	2016-11-24
Veleia	0213-2095		819	2013-05-28
Velvet Light Trap	0149-1830		173	2017-08-17
Vennootschap & Onderneming	0925-9643		2155	2014-11-18
Venture Capital	1369-1066	1464-5343	1140	2014-03-26
VERBO DE MINAS		1984-6959	2745	2016-02-25
Verbraucher und Recht	0930-8369		1424	2013-01-29
Verbum	1585-079X	1588-4309	365	2016-06-07
Verbum et Ecclesia	1609-9982	2074-7705	971	2017-03-24
Verdauungskrankheiten	0174-738X		782	2010-08-02
Verfassung und Recht in Übersee	0506-7286		1423	2013-01-29
Verfassungs- und Verwaltungsrecht unter dem Grundgesetz	0175-1425		1084	2018-03-19
Vergleichende Musikwissenschaft	0934-7453		1084	2018-03-16
Vergleichende Studien zu den slavischen Sprachen und Literaturen	1434-3193		1084	2018-03-20
Verhaltenstherapie	1016-6262	1423-0402	242	2016-06-29
Verhaltenswissenschaft	0721-1368		1084	2018-03-19
Veritas	0042-3955	1984-6746	1224	2012-05-14
Verkehr und Technik	0340-4536	1868-7911	787	2010-08-27
Vernacular Architecture	0305-5477	1749-6292	121	2014-01-22
Verniana		1565-8872	660	2011-08-12
Veröffentlichungen der Hochschule St. Gallen für Wirtschafts- und Sozialwissenschaften	0171-7405		1084	2018-03-19
Veröffentlichungen des Instituts für deutsches und europäisches Wirtschafts-, Wettbewerbs- und Regulierungsrecht der Freien Universität Berlin	2363-684X		1084	2018-03-14
Veröffentlichungen des Instituts für Energie- und Regulierungsrecht Berlin	2363-684X		1084	2018-03-16
Versicherungsrechtliche Studien	0178-4382		1084	2018-03-20
Verslaving	1574-1842	1875-7073	1298	2014-10-10
Verso e Reverso		1806-6925	2801	2016-05-20
Verwaltung and Management	0947-9856		1423	2013-01-29
Verwaltungsrundschau	0342-5592		238	2010-09-02
Vestigia Bibliae	2235-7173	0939-6233	1084	2018-03-20
Vestnik Mashinostroeniya and STIN	1068-798X	1934-8088	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 1. Matematika. Mekhanika	0027-1330	1934-8452	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 1. Matematika. Mekhanoka.	0027-1322	1934-8444	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 15. Vychislitel'naya Matematika i Kibernetika	0278-6419	1934-8428	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 16. Biologiya	0096-3925	1934-791X	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 17. Pochvovedenie	0147-6874	1934-7928	141	2010-09-23
Vestnik Moskovskogo Universiteta. Seriya 2. Khimiya	0027-1314	1935-0260	74	2014-05-16
Vestnik Moskovskogo Universiteta. Seriya 3. Fizika, Astronomiya	0027-1349	1934-8460	74	2014-05-16
Vestnik Moskovskogo Universiteta.Seriya 4. Geologiya	0145-8752	1934-8436	74	2014-05-16
Vestnik policii	2409-3610	2414-0880	1771	2015-12-23
Vestnik Rossiiskoi Akademii Nauk	1019-3316	1555-6492	141	2014-02-28
Vestnik Sankt Peterburgskogo Universiteta. Seriya 1. Matematika, Mechanika, Astronomiya	1063-4541	1934-7855	74	2014-05-16
Vestnik St. Petersburg University: Mathematics	1063-4541	1934-7855	74	2014-05-16
Vestnik Tomskogo Gosudarstvennogo Universiteta. Biologiya	1998-8591	2311-2077	2202	2015-01-14
Vestnik Transplantologii i Iskusstvennyh Organov		1995-1191	3150	2018-01-17
Vestnik Vorone�skogo Gosudarstvennogo Universiteta In�enernyh Tehnologij	2226-910X	2310-1202	3215	2018-02-27
Vestnik Zoologii		2073-2333	1851	2018-05-02
Vesuviana, An International Journal on Archaeological and Historical Studies on Pompeii and Herculaneum	2036-8089	2037-6065	774	2016-02-10
Veterinär Spiegel	0940-8711		257	2015-04-14
Veterinary Anaesthesia and Analgesia	1467-2987	1467-2995	2050	2017-11-24
Veterinary and Comparative Oncology	1476-5810	1476-5829	2050	2017-11-24
Veterinary and Comparative Orthopaedics and Traumatology	0932-0814		243	2013-03-20
Veterinary Clinical Pathology	0275-6382	1939-165X	2050	2017-11-24
Veterinary Clinics of North America: Equine Practice	0749-0739		985	2014-01-07
Veterinary Clinics of North America: Exotic Animal Practice	1094-9194		985	2014-01-07
Veterinary Clinics of North America: Food Animal Practice	0749-0720		985	2014-01-07
Veterinary Clinics of North America: Small Animal Practice	0195-5616		985	2014-01-07
Veterinary Dermatology	0959-4493	1365-3164	2050	2017-11-24
Veterinary Economics	0042-4862	2150-7392	1060	2011-10-07
Veterinary Evidence		2396-9776	2907	2016-11-25
Veterinary Immunology and Immunopathology	0165-2427		30	2018-05-03
Veterinary Journal	1090-0233		2823	2018-03-29
Veterinary Medicine and Science		2053-1095	1760	2016-10-27
Veterinary Medicine International	2090-8113	2042-0048	100	2018-01-08
Veterinary Medicine: Research and Reports		2230-2034	407	2014-01-30
Veterinary Microbiology	0378-1135		30	2018-05-03
Veterinary Nurse	2044-0065		621	2018-02-20
Veterinary Nursing Journal		2045-0648	580	2017-11-24
Veterinary Ophthalmology	1463-5216	1463-5224	2050	2017-11-24
Veterinary Parasitology	0304-4017		30	2018-05-03
Veterinary Pathology	0300-9858	1544-2217	65	2014-05-30
Veterinary Quarterly	0165-2176	1875-5941	1141	2014-03-26
Veterinary Radiology and Ultrasound	1058-8183	1740-8261	2050	2017-11-24
Veterinary Record	0042-4900		25	2017-10-09
Veterinary Record Open		2052-6113	1229	2014-06-02
Veterinary Research	0928-4249	1297-9716	22	2015-11-23
Veterinary Research Communications	0165-7380	1573-7446	74	2014-09-25
Veterinary Science Development		2038-9701	644	2016-11-24
Veterinary Science Research	0976-996X	0976-9978	994	2011-05-25
Veterinary Sciences		2306-7381	487	2016-12-14
Veterinary Sciences: Research and Reviews		2397-3463	2833	2016-07-21
Veterinary Surgery	0161-3499	1532-950X	2050	2017-11-24
Veterinary World	0972-8988	2231-0916	1650	2014-01-08
Vetus Testamentum	0042-4935	1568-5330	154	2016-01-22
Vezetéstudomány	0133-0179		1213	2018-01-18
Via medici	0949-2488	1439-1414	257	2015-04-14
Via panorâmica: revista electrónica de estudos anglo-americanos		1645-9652	904	2011-03-07
Via panorÃ¢mica		1645-9652	904	2011-03-23
Via Spiritus: Revista de História da Espiritualidade e do Sentimento Religioso	0873-1233		904	2011-03-01
Vibrational Spectroscopy	0924-2031		30	2015-05-01
Victims and Offenders	1556-4886	1556-4991	1140	2014-03-26
Victorian and Edwardian Studies	2235-5693		1084	2018-03-19
Victorian Literature and Culture	1060-1503	1470-1553	2128	2014-10-07
Victorian Naturalist	0042-5184		571	2010-09-07
Victorian Periodicals Review	0709-4698	1712-526X	96	2017-07-05
Victorian Studies	0042-5222	1527-2052	305	2016-11-15
Victoriographies	2044-2416	2044-2424	266	2017-05-04
Video Journal and Encyclopedia of GI Endoscopy	2212-0971	2212-0971	1504	2014-11-25
Video Journal of Education and Pedagogy		2364-4583	948	2015-12-22
Videosurgery and Other Miniinvasive Techniques	1895-4588	2299-0054	3007	2018-02-12
Vienna Journal for South Asian Studies	0084-0084	1728-3124	400	2010-12-16
Vienna Yearbook of Population Research	1728-4414	1728-5305	400	2010-12-16
Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte	0340-8728		3178	2018-02-06
Vietnam Journal of Computer Science	2196-8888	2196-8896	948	2015-12-22
Vigilia-Sueño	1132-9572		990	2015-05-01
Vigiliae Christianae	0042-6032	1570-0720	154	2016-01-22
Viking	0332-608X		929	2011-01-04
Viking and Medieval Scandinavia	1782-7183		1890	2016-02-16
VIMS Health Science Journal	2348-523X	2454-1982	2462	2015-08-13
VINE Journal of Information and Knowledge Management Systems		2059-5891	31	2018-02-16
Violence Against Women	1077-8012	1552-8448	65	2013-03-11
Violence and Victims	0886-6708	1945-7073	3061	2018-02-21
Violence Studies	2161-2668		1084	2018-03-20
Vipasca - Arqueologia e História	0872-1653		872	2010-11-22
Viral hepatitis in practice	2041-1162		3100	2017-10-02
Viral Immunology	0882-8245	1557-8976	50	2015-03-18
Virchows Archiv	0945-6317	1432-2307	74	2014-09-25
Virchows Archiv B Cell Pathology Zell-Pathologie	0340-6075		74	2014-09-25
Virginia Libraries		1086-9751	2999	2017-03-21
Virginia Tech Undergraduate Historical Review		2165-9915	2999	2017-03-21
Virittäjä	0042-6806	2242-8828	1860	2016-12-20
Virologica Sinica	1674-0769	1995-820X	74	2014-09-25
Virologie	1267-8694	1950-6961	312	2013-04-05
Virology	0042-6822		30	2015-05-01
Virology and Mycology: Infectious Diseases		2161-0517	672	2015-05-28
Virology Journal		1743-422X	22	2015-11-23
Virology: Research and Treatment		1178-122X	163	2014-07-22
Virtual and Physical Prototyping	1745-2759	1745-2767	1141	2014-03-26
Virtual Archaeology Review		1989-9947	1425	2015-10-29
Virtual Journal for Biomedical Optics		1931-1532	108	2017-09-08
Virtual Reality	1359-4338	1434-9957	74	2014-09-25
Virulence	2150-5594	2150-5608	1141	2018-03-28
Virus Adaptation and Treatment		1179-1624	407	2014-01-30
Virus Evolution		2057-1577	1486	2015-05-05
Virus Genes	0920-8569	1572-994X	74	2014-09-25
Virus Research	0168-1702		30	2015-05-01
Viruses		1999-4915	487	2016-12-14
Visceral Medicine	2297-4725	2297-475X	242	2018-03-29
Visegrad Journal on Bioeconomy and Sustainable Development		1339-3367	1851	2018-05-02
Vision		2411-5150	487	2017-04-21
Vision Research	0042-6989		30	2015-05-01
Visitor Studies	1064-5578	1934-7715	1600	2014-03-26
Visual Anthropology	0894-9468	1545-5920	1140	2014-03-26
Visual Anthropology Review	1058-7187	1548-7458	110	2014-07-09
Visual Arts Research	0736-0770	2151-8009	292	2014-06-10
Visual Cognition	1350-6285	1464-0716	193	2014-03-26
Visual Communication	2153-277X		1084	2018-03-16
Visual Communication Quarterly	1555-1393	1555-1407	1140	2014-03-26
Visual Computer	0178-2789	1432-2315	74	2014-09-25
Visual Culture in Britain	1471-4787	1941-8361	1140	2014-03-26
Visual Geosciences	1610-2924	1610-2924	74	2014-05-16
Visual Impairment Research	1388-235X	1744-5167	1141	2014-03-26
Visual Learning	1435-845X		1084	2018-03-16
Visual Neuroscience	0952-5238	1469-8714	2127	2014-10-07
Visual Resources	0197-3762	1477-2809	1140	2014-03-26
Visual Studies	1472-586X	1472-5878	1140	2014-03-26
Visualization, Image Processing and Computation in Biomedicine - NEW FOR 2012	2162-3465	2162-3511	2372	2018-03-08
Visualization in Engineering		2213-7459	948	2015-12-18
Visualization of Mechanical Processes		2152-209X	2372	2018-03-08
Viszeralmedizin	1662-6664	1662-6672	242	2018-03-29
Vital	1741-7503	1741-7511	54	2014-12-09
Vivarium	0042-7543	1568-5349	154	2016-01-22
VJS-Nachrichten	1437-2843		641	2010-08-16
VLC arquitectura	2341-3050	2341-2747	1425	2014-11-24
VLDB Journal	1066-8888	0949-877X	74	2016-12-08
VLSI Design	1065-514X	1563-5171	100	2018-01-08
Vocation Sage-Femme	1634-0760		30	2015-05-01
Vocational Education	2160-4398	2160-4401	1326	2012-09-04
Vocational Education and Training Abstracts	1943-0272	1943-0280	1140	2014-03-26
Vocations and Learning	1874-785X	1874-7868	74	2014-05-16
Voces. Revista de estudios de lexicología latina y antigüedad tardía	1130-3336		1333	2012-09-12
Voice of Experience	0886-8255		632	2011-08-12
Voice of the Publisher	2380-7571	2380-7598	1018	2017-11-09
Voices	1538-2680	1548-7423	110	2014-07-09
Voices: A World Forum for Music Therapy		1504-1611	3092	2017-09-07
Voices from the Middle	1074-4762	1943-3069	805	2010-08-03
Vojnotehnicki glasnik	0042-8469	2217-4753	2828	2016-12-07
Volkswirtschaftliche Analysen	1432-8739		1084	2018-03-19
Volta Review	0042-8639		471	2012-03-20
Volume IX (2007) Number 1 / 2007 - ročník IX. - číslo 1 	1338-4430		3036	2017-07-14
Volume VII, VIII (2006) Number 1 / 2006 - ročník VII. - VIII. - číslo 1	1338-4430		3036	2017-07-14
Volume X (2008) Number 1 / 2008 - ročník X. - číslo 1	1338-4430		3036	2017-07-14
Volume XI (2009) Number 1 / 2009 - ročník XI. - číslo 1	1338-4430		3036	2017-07-14
Volume XII (2010) Number 2 / 2010 - ročník XII. - číslo 2	1338-4430		3036	2017-07-14
Volume XIII (2011) Number 1 / 2011 - ročník XIII. - čislo 1	1338-4430		3036	2017-07-14
Volume XIII (2011) Number 2 / 2011 - ročník XIII. - číslo 2	1338-4430		3036	2017-07-14
Volume XIV (2012) Number 1 / 2012 - ročník XIV. - číslo 1	1338-4430		3036	2017-07-14
Volume XIV (2012) Number 2 / 2012 - ročník XIV. - číslo 2	1338-4430		3036	2017-07-14
Volume XV (2013) Number 1 / 2013 - ročník XV. - číslo 1	1338-4430	1338-449X	3036	2017-07-14
Volume XV (2013) Number 2 / 2013 - ročník XV. - číslo 2	1338-4430	1338-449X	3036	2017-07-14
Volume XVI (2014) Number 1 / 2014 - ročník XVI. - číslo 1	1338-4430	1338-449X	3036	2017-07-14
Volume XVI (2014) Number 2 / 2014 - ročník XVI. - číslo 2	1338-4430	1338-449X	3036	2017-07-14
Volume XVII (2015) Number 1 / 2015 - ročník XVII. - číslo 1	1338-4430	1338-449X	3036	2017-07-14
Volume XVII (2015) Number 2 / 2015 - ročník XVII. - číslo 2	1338-4430	1338-449X	3036	2017-07-14
Volume XVIII, 1, 2016  Ročník XVIII. číslo 1	1338-4430	1338-449X	3036	2017-07-14
Voluntaris		2196-3886	1423	2017-09-28
Voluntary Sector Review	2040-8056	2040-8064	251	2017-04-27
Voluntas: International Journal of Voluntary and Nonprofit Organizations	0957-8765	1573-7888	74	2014-09-25
Volunteer Management Report		2325-8578	580	2017-11-24
Vom Wasser	0083-6915		1554	2013-07-30
Voprosy filosofii i psikhologii	2409-3602	2414-0856	1771	2016-02-05
Vortragsreihe / Lehrstuhl für Betriebswirtschaftslehre Schwerpunkt Marketing	1864-2195		641	2010-08-16
Vox Sanguinis	0042-9007	1423-0410	2050	2017-11-24
Vulcan	2213-459X	2213-4603	154	2016-01-22
Vulnerable Children and Youth Studies	1745-0128	1745-0136	1139	2014-03-26
Vulnerable Groups and Inclusion		2000-8023	1524	2017-02-15
Vysokomolekulyarnye Soedineniya, Ser. A.	0965-545X	1555-6107	141	2014-08-13
Vysokomolekulyarnye Soedineniya, Ser. B.	1560-0904	1555-6123	141	2014-08-13
Vysokomolekulyarnye Soedineniya, Ser. C.	1811-2382	1555-614X	141	2014-09-25
Wacana		1411-2272	2804	2016-06-23
Wadabagei	1091-5753		582	2010-08-31
Walawalkar's International Medical Journal	2349-2910	2395-0684	2258	2015-03-19
Wales Journal of Education	2059-3708	2059-3716	1081	2016-07-06
Wallace Stevens Journal	0148-7132		96	2017-07-05
Walther-Studien	1615-651X		1084	2018-03-19
War and Society	0729-2473	2042-4345	121	2014-01-22
War in History	0968-3445	1477-0385	65	2013-03-11
Warsaw Studies in Classical Literature and Culture	2196-9779		1084	2018-03-16
Warsaw Studies in Contemporary History	2195-1187		1084	2018-03-14
Warsaw Studies in Culture and Society	2192-4961		1084	2018-03-14
Warsaw Studies in English Language and Literature	2082-7350		1084	2018-03-14
Warsaw Studies in Jewish History and Memory	2191-7493		1084	2018-03-14
Warsaw Studies in Philosophy and Social Sciences	2196-0143		1084	2018-03-14
Warsaw Studies in Politics and Society	2193-3774		1084	2018-03-14
Warschauer Studien zur Germanistik und zur Angewandten Linguistik	2192-7820		1084	2018-03-16
Warschauer Studien zur Kultur- und Literaturwissenschaft	2191-1886		1084	2018-03-16
Wasafiri	0269-0055	1747-1508	1140	2014-03-26
Washington College Studies in Religion, Politics, and Culture	2151-7010		1084	2018-03-19
Washington Quarterly	0163-660X	1530-9177	1140	2014-03-26
Waste and Biomass Valorization	1877-2641	1877-265X	74	2014-09-25
Waste Management	0956-053X		30	2015-05-01
Waste Management and Research	0734-242X	1096-3669	65	2013-03-11
Waste Technology		2338-6207	1240	2014-12-03
Water		2073-4441	487	2016-12-14
Water, Air, and Soil Pollution	0049-6979	1573-2932	74	2014-10-24
Water, Air, and Soil Pollution: Focus	1567-7230	1573-2940	74	2014-09-25
Water and Environment Journal	1747-6585	1747-6593	2050	2017-11-24
Water Asset Management International	1814-5434	1814-5442	236	2018-05-02
Water History	1877-7236	1877-7244	74	2014-09-25
Water Intelligence Online	1476-1777		236	2018-05-02
Water International	0250-8060	1941-1707	1140	2014-03-26
Water Law	0959-9754	1099-1816	1499	2014-03-18
Water Policy	1366-7017		236	2018-05-02
Water pollution and treatment	2332-8010	2332-8029	1326	2014-12-09
Water Practice and Technology		1751-231X	236	2018-05-02
Water Quality and Ecosystems Modeling	1388-266X	1573-1669	74	2014-09-25
Water Quality, Exposure and Health	1876-1658	1876-1666	74	2014-09-25
Water Research	0043-1354		30	2017-09-19
Water Resources	0097-8078	1608-344X	141	2014-09-25
Water Resources and Economics	2212-4284		30	2015-05-01
Water Resources and Industry	2212-3717	2212-3717	1504	2014-11-25
Water Resources and Rural Development	2212-6082		30	2015-05-01
Water Resources Management	0920-4741	1573-1650	74	2014-09-25
Water Resources Research	0043-1397	1944-7973	6	2017-11-27
Water Science and Technology	0273-1223		236	2018-05-02
Water Science and Technology: Water Supply	1606-9749		236	2018-05-02
Water Treatment Technology		2299-0984	1851	2018-05-02
Water Utility Management International	1747-7751	1747-776X	236	2018-05-02
Water21	1561-9508	2219-1534	236	2018-05-02
Waterbirds	1524-4695	1938-5390	998	2011-04-18
Waterlines	0262-8104	1756-3488	2744	2017-10-09
Watsonia	0043-1532		184	2013-03-13
Wave Motion	0165-2125		30	2015-05-01
Waves in Random and Complex Media	1745-5030	1745-5049	1141	2014-03-26
